,plot,genre
11,IN THIS EPISODE KEVIN WANTS TO BE ELECTED HIS SCHOOL CLASS PRESIDENT AND EVERYONE WANTS TO HELP HIM BUT THEY END UP MAKING HIM BLOW HIS CHANCES.,COMEDY
12,"DIE WONDERWERKER TELLS THE STORY OF EUGÈNE MARAIS, A FAMOUS AFRIKAANS WRITER, POET AND RESEARCHER. THE STORY FOCUSES ON THE FEW MONTHS HE SPENDS ON THE VAN ROOYEN'S FARM, WHERE HE FALLS IN LOVE WITH THE 19-YEAR-OLD JANE BRAYSHAW.",DRAMA
13,"ROCK 'N ROLL BABY !!. WITH THE INSOMNIAC BABIES, IT'S ROCKS AT FRIGHTSYLVANIA. LARRY, THE BAND LEADER AND HIS MATES ONLY LIVE FOR THE MUSIC, THEY WILL BECOME ROCK-STARS . HUM, WHEN THEY FIND A WAY TO PAY THE RENT.",ANIMATION
14,"AN UPSTATE NEW YORK FAMILIES' CLASH OVER THEIR VIEWS OF THE CIVIL WAR AND THE VIEWS OF THE RELIGIOUS TOWNS PEOPLE COMES TO A HEAD WHEN JEFF ""TOM"" BEECH VOLUNTEERS FOR THE ARMY AND WORD GETS BACK THAT HE IS MISSING. UPON WORD OF HIS TROUBLES THE SON OF A STAUNCH ABOLITIONIST AND ENEMY OF THE BEECH FAMILY SETS OUT TO FIND HIS FRIEND! WHAT HAPPENS NEXT WILL BRING A DIVIDED COMMUNITY TOGETHER AGAIN.",DRAMA
15,"'FROM BEDROOMS TO BILLIONS' IS A 2 AND A HALF HOUR FEATURE LENGTH DOCUMENTARY MOVIE TELLING THE REMARKABLE, TRUE STORY OF THE BRITISH VIDEO GAMES INDUSTRY FROM 1979 TO THE PRESENT DAY. DEVELOPMENTS IN COMPUTER TECHNOLOGY IN THE UK OF THE LATE 70'S EARLY 80'S HELPED INSPIRE A GENERATION OF SMALL TEAM ENTHUSIASTS, HOBBYISTS, SCHOOL KIDS, BEDROOM CODERS AND ENTREPRENEURS TO MAKE AND RELEASE SOME TRULY CLASSIC GAMES. 'FROM BEDROOMS TO BILLIONS' TELLS THE STORY OF HOW THE CREATIVITY AND VISION OF A RELATIVELY SMALL NUMBER OF INDIVIDUALS ALLOWED THE UK TO PLAY A KEY, PIONEERING ROLE IN THE SHAPING OF THE BILLION DOLLAR VIDEO GAMES INDUSTRY, WHICH TODAY DOMINATES THE MODERN WORLD'S ENTERTAINMENT LANDSCAPE. 'FROM BEDROOMS TO BILLIONS' IS THE FIRST TO ATTEMPT TO BRING THIS AMAZING STORY TOGETHER. FEATURING INTERVIEWS WITH KEY CONTRIBUTORS TO THE UK STORY SUCH AS PETER MOLYNEUX, JEFF MINTER, DAVID BRABEN, DAVID PERRY, MARK HEALEY, JASON KINGSLEY AND MANY OTHERS FROM ACROSS VIDEO GAME DEVELOPMENT, PUBLISHING AND JOURNALISM FROM OVER THE LAST 40 YEARS, COMBINED WITH COMPELLING ARCHIVE. 'FROM BEDROOMS TO BILLIONS' REVEALS SOME OF THE REMARKABLE STORIES, STRUGGLES AND SUCCESSES THAT SAW THE UK VIDEO GAMES INDUSTRY GO FROM QUITE LITERALLY NOTHING INTO A MAJOR FORCE LITTERED WITH ORIGINAL THINKERS, INNOVATORS AND ECCENTRIC CHARACTERS. THE FILM TAKES YOU ON A WONDERFUL JOURNEY THROUGH THOSE EARLY 8 BIT YEARS, THE TRANSITION INTO THE 16BIT ERA AND PC, THE INFLUENCE OF THE JAPANESE AND AMERICAN CONSOLES AND THE AVAILABILITY OF FINANCE, RIGHT THROUGH TO THE PRESENT DAY OF TRIPLE AAA GAMES, INDIE DEVELOPMENT AND THE FUTURE. 'FROM BEDROOMS TO BILLIONS' IS REGARDED AS THE MOST COMPREHENSIVE AND THOROUGH VIDEO GAME DOCUMENTARY EVER CREATED AND IS ESSENTIAL VIEWING FOR ANYONE INTERESTED IN VIDEO GAMES, EITHER AS A PLAYER OR AS A CREATOR.",DOCUMENTARY
16,"THE LIVES OF FOUR WOMEN TRYING TO BALANCE THE CHAOTIC DEMANDS OF CHILDREN, HUSBANDS, A CAREER AND FRIENDSHIP AND STILL KEEP SANE.",COMEDY
17,"""HIDDEN COLORS 2"" IS THE FOLLOW-UP TO THE CRITICALLY ACCLAIMED 2011 DOCUMENTARY ABOUT THE UNTOLD HISTORY OF PEOPLE OF AFRICAN AND ABORIGINAL DESCENT. THIS INSTALLMENT OF GOES INTO TOPICS SUCH AS THE GLOBAL AFRICAN PRESENCE, THE SCIENCE OF MELANIN, THE TRUTH ABOUT THE PRISON INDUSTRIAL COMPLEX, HOW THRIVING BLACK ECONOMIC COMMUNITIES WERE UNDERMINED IN AMERICA, THE HIDDEN TRUTH ABOUT NATIVE AMERICANS, AND MUCH MORE.",DOCUMENTARY
18,"A 19-YEAR OLD COLLEGE FRESHMAN UNWITTINGLY RE-IMAGINES HIS CHILDHOOD IMAGINARY FRIEND, GARY, TO SURVIVE HIS FIRST WEEK AT SCHOOL.",COMEDY
19,"WHILE DRIVING TO HIS DANISH HOMELAND, STIG HAS TO STOP BRIEFLY IN A SMALL TOWN, THEN A STRANGER SUDDENLY SITS IN HIS BACK SEAT AND PUTS A GUN TO HIS HEAD. HE DISCOVERS THAT THE UNINVITED PASSENGER RECENTLY KILLED SEVERAL STUDENTS ...",THRILLER
20,"ONCE UPON THE SOVIET UNION TIME ONE BOY UNDERSTOOD HOW IT IS TO BE NOT LIKE EVERYBODY, IN A CHILDREN-GARDEN NEW YEAR'S CELEBRATION HI COMES IN A DIFFERENT COSTUME. DOES HI HAVE THE RIGHT TO BE HIMSELF? THAT'S THE QUESTION.",SHORT
21,"WHEN THE FAMILY'S MORNING ROUTINE DEVOLVES INTO FIGHTING, GIGI SUGGESTS THAT THEY TRY AN OLD SORORITY EXERCISE CALLED THE LEMON SQUEEZE IN ORDER TO TURN THEIR PROBLEMS AROUND.",COMEDY
22,"'OVERTIME' IS A TALE OF A YOUNG AND BEAUTIFUL GIRL KHUSHI (SWATI SHARMA) WHO RESIDES IN MUMBAI AND IS WORKING AS A 'HIGH PROFILE CALL GIRL' BUT WITH THE DREAMS OF DEVELOPING INTO FAME BOLLYWOOD ACTRESS IN THE FUTURE. FROM CORRUPT POLITICIAN AATRE (SATISH KAUSHIK), TO A WELL KNOWN BUSINESSMAN HUDA (YASHPAL SHARMA) WHO IS DEALING INTO CONSTRUCTION, HIS DETERMINED SECRETARY LIZA (AARZOO GOVITRIKAR), WOMANIZER ARCHITECT RAJEEV (ZAKIR HUSSAIN), AND LASTLY TO A MOVIE CO-COORDINATOR SHANKAR (VIJAY RAJ). IN THE MIDST OF ALL THIS, KHUSHI IS STILL HOLDING ON TO HER DREAM OF BECOMING BOLLYWOOD ACTRESS. SHE CONTINUES TO FIGHT TO KEEP HER HOPE ALIVE AGAINST ALL PROBABILITIES.",DRAMA
23,"TALKING OF THE TECHNICAL ASPECTS, ACTING, DIRECTION, PRODUCTION, EDITING, AND SOUND MIXING - THEY'RE ALL SUPERB. THE STORY IS VERY REALISTIC. TALKS ABOUT GENDER ROLES, AND TEACHES A LOT OF LIFE LESSONS. NO PROBLEM IS EXAGGERATED. IT'S A VERY DOWN TO EARTH SHOW. THE STORY IS BEAUTIFUL. DIALOGS ARE NOT OVER-THE-TOP LIKE IN OTHER SERIALS. THEY ARE VERY NATURAL LIKE IN EVERYDAY CONVERSATIONS. IT'S LIKE YOU CAN ACTUALLY RELATE TO THEM TALKING. VASL IS A VERY TRUE PICTURE OF DAY-TO-DAY LIFE. THE ONLY THING THAT MIGHT PULL DOWN THE SHOW HOWEVER IS FAISAL REHMAN'S PORTRAYAL OF SALMAN. AYESHA KHAN'S PORTRAYAL OF HENNA CAN SCORES CENT PERCENT. JUGGAN QAZIM IS AT HER BEST. OTHER CHARACTERS ALSO PLAY A GOOD ROLE AND KEEP THE SERIES RUNNING.",DRAMA
24,VERSION OF 'THE VOICE' FROM SPAIN.,MUSIC
25,A PORTRAIT OF NANCY MITFORD BY INTERVIEWING HER SISTERS AND HER NEPHEW. FOOTAGE AND SOUND RECORDINGS OF NANCY MITFORD INTERSPERSED,DOCUMENTARY
26,"IN 1991, DANA IRELAND WAS FOUND STRUGGLING IN A SECLUDED JUNGLE IN HILO, BUT IT WAS TOO LATE. INVESTIGATORS WERE BAFFLED BYWHAT LOOKED LIKE A COMBINATION RAPE, AND HIT-AND-RUN.DANA DIED FROM HER INJURIES, BUT WHO ON HAWAII'S BIG ISLAND WANTED DANA DEAD?",CRIME
27,"BOMMAN (VIKRAM PRABHU) A MAHOUT AND HIS PET ELEPHANT MANICKAM MAKE A LIVING OUT OF PERFORMING IN TEMPLES AND FILM SHOOTINGS. HE IS ASSISTED BY HIS UNCLE (THAMBI RAMAIAH) A DRUNKARD AND WASTREL. DUE TO CERTAIN CIRCUMSTANCES, THEY FIND THEMSELVES IN A REMOTE VILLAGE PROTECTING THE VILLAGERS FROM A WILD HEARD OF ELEPHANTS. BOMMAN KNOWS THAT MANICKAM IS NOT A TRAINED KUMKI ELEPHANT WHO CAN TAKE ON OR STOP THE ATTACK OF THE WILD ELEPHANTS. HOWEVER HE DOES NOT CARE AS BY THEN HE HAS FALLEN MADLY IN LOVE WITH THE VILLAGE CHIEFTAIN'S DAUGHTER ALLI (LAKSHMI MENON). MEANWHILE THE VILLAGERS TREAT HIM LIKE THEIR SAVIOUR, AS THE WAIT BEGINS FOR THE WILD ELEPHANT ON RAMPAGE.",DRAMA
28,"THE BEST SUBJECT MATTER IS OFTEN ONLY JUST A FEW STEPS AWAY. DIRECTOR MICHAEL SCHINDEGGER HAS BEEN LIVING WITH HIS FATHER AND BROTHERS IN AN APARTMENT BUILDING IN THE SECOND DISTRICT OF VIENNA, LEOPOLDSTADT, AT HOUSE 'NO. 7', FOR THIRTY YEARS. HOWEVER, HE HARDLY KNOWS ANY OF HIS NEIGHBORS. HE DECIDES TO CHANGE ALL THAT JUST BEFORE MARRYING HIS FIANCÉE AND MOVING OUT. CAMERA IN HAND HE RINGS ALL OF THEIR DOORBELLS AND INTRODUCES HIMSELF TO THE BUILDING'S MULTI-LINGUAL, PRIMARILY JEWISH RESIDENTS.",DOCUMENTARY
29,"SHADIA, DAWLAT, SHUKRIA AND SUZI ARE FOUR EGYPTIAN CAUGHT IN A PROSTITUTION ACT, EACH OF THEM TELLS HER STORY OF HOW SHE ENDED UP IN THIS OBSCENE PROFESSION. SHADIA SUFFERS A LOT FROM HER STEP FATHER HE PUSHES HER TO WORK HARD AND DOESN'T WANT HER IN HIS HOUSE AND THEN HE FORCES HER TO MARRY A DRUG DEALER, AFTER MARRYING HIM HE IS CAUGHT BY THE POLICE SO SHADIA STARTS TO SEARCH FOR A JOB AND ENDS UP WORKING IN NIGHT CLUB AND LATER AS A PROSTITUTE. DAWLAT IS POOR WOMAN ROAMING THE STREETS OF CAIRO WORKING AS A SALES WOMAN, ONE DAY SHE MEETS AND OLD FEMALE FRIEND WHO BECAME RICH AND SHE ADVICE DAWLAT TO COME AND WORK WITH HER IN THE NIGHT CLUB, AT FIRST DAWLAT IS RELUCTANT ABOUT ACCEPTING THE JOB BUT NUDER THE PRESSURE OF HARD LIFE SHE IS LIVING SHE IS FORCED TO ACCEPT, AFTER STARTING TO WORK IN THE NIGHT CLUB THE CURRENT TAKES STEP BY STEP TO THE WORLD OF PROSTITUTION. SHUKRIA IS POOR YOUNG WOMAN LIVING WITH HER MOTHER AND HER BROTHERS WHO TREATS HER VERY BAD; LATER HER BROTHER FORCES HER TO MARRY AN IMPOTENT MAN WHO CAN'T SATISFY HER SO SHE FINDS SEXUAL SATISFACTION IN HER OLD FIANCEE'S ARMS WHO CONVINCES HER TO WORK AS A DANCER IN A NIGHT CLUB AND THEN HE TAKES ALL HER MONEY AND RAN, AFTER THAT SHE IS BEEN DRIVEN ALSO INTO PROSTITUTION. LASTLY SUZI A RICH GIRL WHOM HER FATHER GOES BANKRUPT AND SHE AND HER MOTHER FORCED TO WORK IN HER AUNT SPA AFTER SHE ALSO BEEN DRIVEN TO PROSTITUTION.",DRAMA
30,SACHA PROPOSES THAT HE AND CHRISSIE MOVE UP THEIR WEDDING DATE IN THE MOST UNROMANTIC WAY - TO SAVE TAXES! HANSSEN CONTINUES TO GET HATE MAIL AND PHONE CALLS FROM RITCHIE MOONEY'S AGGRIEVED SON NICK. AFTER HANSSEN CONFRONTS HIM IN THE HOSPITAL CAR-PARK NICK HANDCUFFS HIM IN HIS BOOBY-TRAPPED VAN. SUBSEQUENTLY HANSSEN ADMITS THAT HE IS RESPONSIBLE FOR RITCHIE'S DEATH BUT IS INJURED ACCIDENTALLY WITH A NAIL GUN. JAC BELIEVES THAT SHE MIGHT BE PREGNANT WITH JONNY'S BABY AND HER DAY IS NOT HELPED WHEN GEORGE SHELVES HER DURING FILMING FOR A TELEVISION PROGRAMME IN FAVOUR OF ELLIOTT AND MO OVERRIDES HER ON A LUNG OPERATION.,DRAMA
31,"A TRACK THROUGH NATURE, NURTURE AND CHARLES DARWIN. QUESTIONS LIKE: HOW AM I RELATED TO A MOUSE? WAR, WHAT IS IT GOOD FOR? AND AM I HOT OR NOT?",DOCUMENTARY
32,"BACK TO JAMES' DAY JOB, SPEED. WHAT'S THE FASTEST WAY AROUND THE WORLD? SHOULD YOU RUN OR WALK IN THE RAIN? AND WHAT MAKES A SONIC BOOM?",DOCUMENTARY
33,IF YOU'VE EVER WONDERED: WHAT DID STEAM EVER DO FOR US? HOW HIGH CAN WE BUILD? AND WHEN CAN I MOVE TO MARS? THEN PREPARE TO HAVE YOUR NUTS TIGHTENED.,DOCUMENTARY
34,"THE TRUTH &AMP; LIFE APP IS AN AUDIO BIBLE AND STUDY BIBLE. THE TRUTH &AMP; LIFE DRAMATIZED AUDIO BIBLE NEW TESTAMENT IS A CELEBRITY-VOICED ""RADIO DRAMA"" OF THE ENTIRE RSV-CE NEW TESTAMENT. MORE THAN 70 ACTORS HELP BRING THE SCRIPTURES TO...",DRAMA
35,"SARAH DUNCLIFFE IS PREGNANT AND SUICIDAL. SHE IS MARRIED TO A MAN SHE DOES NOT LOVE, STALKED BY AN ABUSIVE EX BOYFRIEND, AND HAUNTED BY A DEAD GIRL WHO STARES AT HER WITH A BLOATED BLUISH FACE AND SAD, QUESTIONING EYES. AFTER A MISHAP, SARAH IS INSTRUCTED BY HER DOCTOR TO STAY IN BED. BEGRUDGINGLY SHE DOES. THAT IS, UNTIL A STRANGE OLDER MAN MOVES IN NEXT DOOR. A MAN WITH BLACK TEETH AND AN ODD HABIT OF SNEAKING INTO SARAH'S YARD TO STEAL WEEDS. EMBOLDENED BY CURIOSITY, SARAH SNEAKS INTO HER NEIGHBOR'S YARD - ONLY TO BE LOCKED INSIDE A GREENHOUSE. AFTER SHE BREAKS A GLASS PANE TO ESCAPE, SHE CUTS HERSELF AND FAINTS. SARAH WAKES AND LEARNS THE NEIGHBOR HAD TREATED HER WOUND WITH A STRANGE HERBAL OINTMENT AND BROUGHT HER TO THE HOSPITAL. EVENTUALLY SARAH GETS UP THE NERVE TO INTRODUCE HERSELF TO HER NEXT DOOR NEIGHBOR. THEY FORM A FAST FRIENDSHIP AND, WHEN SARAH SNEAKS A LOOK INTO HIS PICTURE SCRAPBOOK, SHE DISCOVERS AN AMAZING SECRET. HE'S THE SAME AGE IN NEARLY EVERY PICTURE - PICTURES THAT SPAN DECADES! SARAH DISCOVERS THAN HER NEXT DOOR NEIGHBOR IS OVER TWO THOUSAND YEARS OLD - A DRIFTER WITH AMAZING STORIES AND LIFE EXPERIENCES. BUT WHAT IS THE SECRET BEHIND HIS LONGEVITY AND WHY DID HE ENTER HER LIFE WHEN SHE IS AT HER LOWEST POINT? WHEN SARAH'S HUSBAND GOES AWAY ON AN UNEXPECTED BUSINESS TRIP, HER EX BOYFRIEND SHOWS UP AT HER DOOR. EVEN THOUGH SARAH AND HER EX ARE NOW MARRIED TO OTHER PEOPLE, IN A MOMENT OF WEAKNESS THEY HAD A ONE-NIGHT STAND SEVERAL MONTHS AGO. DOUBTING THAT SARAH WOULD WANT TO SLEEP WITH HER LOSER HUSBAND, THE EX SUGGESTS THAT HE IS THE FATHER OF SARAH'S BABY. WHEN SARAH COLDLY REJECTS HIM, HER EX BECOMES ENRAGED. LATER THAT NIGHT, WHEN SARAH'S EX SPIES HER SNEAKING OVER TO HER NEIGHBOR'S HOUSE, HIS ANGER AND JEALOUSLY IS UNCONTROLLABLE. EVENTS ESCALATE TO A VIOLENT CONFRONTATION THAT MORTALLY INJURES SARAH'S ANCIENT NEXT-DOOR NEIGHBOR AND PUTS SARAH AND HER UNBORN CHILD IN PERIL. SARAH DUNCLIFFE - ONCE A YOUNG WOMAN WHO WELCOMED DEATH - MUST NOW CHOOSE TO FIGHT TO SURVIVE. BLESSID IS A DARK PRETERNATURAL TALE ABOUT TWO STRANGERS WHO COME TOGETHER TO FIND THE BEAUTY AND PURPOSE OF LIFE, AND THAT FORGIVENESS BEGINS WITHIN ONESELF.",DRAMA
36,"A PROSTITUTE, AN AUTHOR AND A RETURNING SOLDIER FACE THE IMMANENT DESPAIR AND NIHILISM IN THEIR WAR-STRUCK NATION. FOR THEM, SEX HAS BECOME MEANINGLESS AND AT THE SAME TIME THE ONLY WAY TO FEEL ANYTHING AT ALL. IN HIS FIRST FEATURE FILM, INOUE EXPLICITLY AND PITILESSLY PURSUES THE ROLES OF VICTIMS AND PERPETRATORS AND THE QUESTION OF GUILT IN JAPAN.",DRAMA
37,"ON THE EVE OF THE CLOSURE OF A CINEMA, AN EXAMINATION OF WHAT THIS MEANS FOR FILM AND FOR JAPAN AS A WHOLE FROM THE POINT-OF-VIEW OF THE VIEWING PUBLIC AND THE CAST WHO STAFFED MANY OF THE FILMS. INTERMISSIONS MARKS THE RETURN OF ACTRESS AKIKO KOYAMA TO FILM FOLLOWING THE DEATH OF HER FAMED HUSBAND WHOM SHE HAD BEEN LOOKING AFTER FOR YEARS.",COMEDY
38,"CONCRETE NIGHT OPENS IN A CRAMPED, CONCRETE-JUNGLE HOME. THE ELDER OF THE TWO BROTHERS IS GETTING READY TO GO AND SERVE HIS PRISON SENTENCE. DURING HIS LAST 24 HOURS OF FREEDOM, HIS LITTLE BROTHER FOLLOWS THE BROTHER HE ADMIRES THROUGH THE FATEFUL SIGHTS OF THAT NIGHT.",DRAMA
39,"BAND OF SISTERS TELLS THE STORY OF CATHOLIC NUNS AND THEIR WORK FOR SOCIAL JUSTICE AFTER VATICAN II OF THE 1960S. FOR CATHOLICS WHO WONDER WHAT BECAME OF THE NUNS THEY KNEW IN HABITS AND CONVENTS MANY YEARS AGO, FOR ACTIVISTS WHO MAY FEEL PROFOUNDLY DISCOURAGED GIVEN THE PROBLEMS OF TODAY'S WORLD, FOR WOMEN SEEKING EQUALITY IN THEIR CHURCH, AND FOR PEOPLE OF ALL FAITHS YEARNING FOR AN INCLUSIVE AND CONTEMPLATIVE SPIRITUALITY, BAND OF SISTERS CHALLENGES US TO ASK WHAT REALLY MATTERS IN LIFE. AND AS WE SEEK WHAT MATTERS, HOW DO WE GO ABOUT CHANGING OUR LIVES AND THE WORLD AROUND US?",DOCUMENTARY
40,"THE STORY OF AN AUTISTIC YOUTH NAMED RICKY WHO, AFTER A PARTICULARLY DIFFICULT DAY AT SCHOOL, ESCAPES INTO THE SUBWAYS. IT'S HERE THAT HE STARTS HIS REAL JOURNEY, ON A DAYS-LONG VOYAGE OF DISCOVERY WHILE, ABOVE GROUND, HIS MOM FRANTICALLY SEARCHES FOR HIM.",DRAMA
41,"SERIES SHOWCASES THE BIGGEST AND BEST WAR MACHINES ON BATTLEFIELDS AROUND THE GLOBE, TRAVELING THE WORLD TO SEE THE ELITE TECHNOLOGY FROM THE LAND, SEA AND AIR AND MEET THE BRAVE SOLDIERS WHO OPERATE THEM EVERY DAY.",DOCUMENTARY
42,"TED HAS A MISSION. IN HIS JOURNEY, HE WILL CROSS PATHS WITH PEOPLE WHO DARE TO BREAK THE SILENCE OF THE WORLD TO SHARE AN IDEA WORTH SPREADING.",SCI-FI
43,"THE FIVE-TIME-GRAMMY-NOMINATED GUITARIST KENNY WAYNE SHEPHERD ANNOUNCES TROUBLE IS 25, A TOP-TO-BOTTOM REINTERPRETATION OF HIS SEMINAL ALBUM TROUBLE IS, WHICH STRUCK THE MATCH THAT REIGNITED MODERN BLUES UPON ITS RELEASE 25 YEARS ...",DOCUMENTARY
44,"FOUR CO-WORKERS MAKE A BET TO SEE WHO CAN BE THE FIRST TO BED AN ATTRACTIVE NEW HIRE. FLIRTING GIVES WAY TO BACKSTABBING AND FRIENDS BECOME ENEMIES AS THEY COMPETE FOR THE OBJECT OF THEIR AFFECTION. BEFORE IT'S ALL OVER REPUTATIONS ARE DESTROYED, PUNCHES ARE THROWN, AND SOMEONE GOES TO JAIL.",COMEDY
45,"STARTING WITH THE PILGRIM'S EMERGENCY BEER RUN, WE EXPLORE HOW BOOZE SHAPED COLONIAL LIFE. WE'LL SHOW YOU HOW ALCOHOL HELPED PUSH THIS GREAT NATION WEST. AND FIND OUT HOW ALCOHOL PROPELLED THE SPACE RACE, AND WHO KILLED JFK.",DOCUMENTARY
46,"A BURKINABÉ BOY FLEES HIS VILLAGE AND MIGRATES TO ITALY. WHEN LATER DISILLUSIONED BY HEARTBREAK, AND HAUNTED BY MEMORIES OF HOME, HE TRAVELS THROUGH TIME IN HOPE OF REGAINING ALL HE HAS LOST.",DRAMA
47,"I'LL SAY RIGHT OFF THAT NOTHING IN THIS SHORT FILM OFFENDED ME. COMPLAINING ABOUT A VIOLENT RAPE SCENE IN A MOVIE BASED ON AN EDWARD LEE STORY IS LIKE COMPLAINING THERE'S MILK IN YOUR MILKSHAKE. IT'S JUST PART OF THE TERRITORY... AND RAPE IS HORRIBLE RIGHT? SO IF ANYTHING IT AMPS UP THE STAKES... BECAUSE A SCARY MONSTER THAT JUST KILLS AND EATS YOU IS KIND OF BORING. THAT SAID. THIS WAS CRAP. IT LOOKED GOOD AND THE ACTING WAS DECENT... THE MONSTER IS A NASTY PIECE OF WORK... BUT THE WRITING IS JUST AWFUL. HAVING NOT READ THE BOOK I CAN'T SAY WHO IS TO BLAME, BUT THE DIALOGUE IS JUST JUVENILE. EVEN THOUGH BRIEF IT'S CERTAINLY BETTER THAN HEADER... BUT THAT'S NOT SAYING MUCH AT ALL. STILL, IF THIS EVER DOES GET DEVELOPED INTO A FULL LENGTH MOVIE I'D BE WILLING TO GIVE IT A SECOND LOOK, BUT I'D KEEP MY EXPECTATIONS VERY LOW.",HORROR
48,"CARY LEARNS THE ""BENEFITS"" OF SELF-TAPES AND THE DRAWBACKS OF NOT BEING ""A NAME"". AFTER LEAVING HER JOB, BROOKE FACES THE CRUEL REALITY OF LIFE AS A REGULAR PERSON. PAT GOES TO EXTREME LENGTHS TO SPEND TIME WITH HER FAMILY.",COMEDY
49,CATE BLANCHETT (TÁR) AND MICHELLE YEOH (EVERYTHING EVERYWHERE ALL AT ONCE) KATE HUDSON (GLASS ONION: A KNIVES OUT MYSTERY) AND GLEN POWELL (DEVIATION AND TOP GUN: MAVERICK) LAURA DEAN (THE SON) AND MICHELLE WILLIAMS (THE FABELMANS),TALK-SHOW
50,"AN IN DEPTH LOOK AT SOME OF THE GREATEST AIRCRAFT THAT HAVE SEEN SERVICE IN DIFFERENT ARMED CONFLICTS. EXPERTS EXAMINE FACTORS AFFECTING THE MANUFACTURE AND USE OF THE AIRCRAFT, WHILE INDIVIDUAL PARTICIPANTS OFFER THEIR PERSPECTIVES.",DOCUMENTARY
51,PRINCE WILLIAM'S STAR-STUDDED AWARDS CEREMONY HONORS FIVE ENVIRONMENTAL SOLUTIONS WITH £1 MILLION EACH TO FURTHER THEIR WORK HELPING TO RESTORE AND PROTECT OUR PLANET.,FAMILY
