title,year,rated,runtime,genre,director,writer,actors,plot,language,country,awards,imdb_rating,imdb_votes,imdb_id,metascore
Christmas on Holly Lane,2018,PG,86 min,Drama,Michael M. Scott,"Diane Messina Stanley, James Stanley","Sarah Lancaster, Karen Holness, Gina Holden","Sarah, Riley, and Cat, three childhood friends with fond memories of Christmas at Sarah's house, come together as adults to save Sarah's home so they can have many more beautiful Christmases together.",English,Canada,N/A,6.4,"1,173",tt8583694,N/A
Tacticool Reloads,2018,N/A,N/A,Short,"Adrian Picardi, Niko Pueringer","Adrian Picardi, Niko Pueringer","Jemma Dallender, Brett Driver, Danny Gonzalez",N/A,N/A,N/A,N/A,N/A,13,tt8583716,N/A
Ken & Barbie Killers,2018,N/A,N/A,"Documentary, Biography, Crime",Elliott Gilbert,Jill Michelle Williams,"April Yanko, Stephen Bouldin, Kim Cicio","Paul Bernardo commits a 5-year spree of highly publicized sexual assaults, tortures, and murders with his wife, Karla Homolka in the Toronto area in the late 1980s and early 1990s.",N/A,N/A,N/A,N/A,11,tt8583718,N/A
Make a wish,2018,N/A,N/A,"Comedy, Drama",Yuval Shafferman,"Dana Idisis, Yuval Shafferman","Niv Majar, Naomi Levov, Ben Yosipovich",Asher prepares a birthday celebration for Zohar and she expects friends from Aroma will come. Ron is anxious about the party in his home and prepares for it. Amit understand he can no longer go to the cafe and changes his behavior to Lior.,N/A,N/A,N/A,N/A,10,tt8583732,N/A
Terror in Philadelphia,2018,TV-14,42 min,"Documentary, Crime",Stephen Schuster,N/A,"Natalie Polisson, Derek Bousquet, Frankie Guzman","In 1998, a gifted Philadelphia graduate student is found murdered in her bed. The hunt for her killer forces police to reevaluate a series of unsolved crimes, turning the city upside down. Will her killer be caught or will he strike again?",N/A,N/A,N/A,7.4,25,tt8583742,N/A
"Blind Auditions Premiere, Night 1",2018,TV-PG,60 min,"Game-Show, Music, Reality-TV",N/A,N/A,"Carson Daly, Blake Shelton, Kelly Clarkson, Jennifer Hudson",N/A,N/A,N/A,N/A,7.8,42,tt8583746,N/A
"Blind Auditions Premiere, Night 2",2018,N/A,N/A,"Music, Reality-TV",N/A,John de Mol,"Carson Daly, Blake Shelton, Kelly Clarkson","The Voice: Blind Auditions Premiere, Night 2",N/A,N/A,N/A,N/A,39,tt8583748,N/A
Flikker,2018,N/A,9 min,"Short, Thriller",Reid Miller,Reid Miller,"Reid Miller, Tonja Rene'","A boy finds himself stalked and tormented by a malevolent force who has seemingly bigger plans for him. But is this entity real, or merely in his mind?",English,United States,3 wins & 1 nomination,N/A,16,tt8583766,N/A
A Sense of Purpose,2018,N/A,26 min,"Comedy, Drama, Family",Linda Mendoza,"Jeff Franklin, Bob Keyes, Doug Keyes","Candace Cameron Bure, Jodie Sweetin, Andrea Barber","With a baby on the way, Steph starts thinking like a provider. Danny ponders going back to work-related and Matt and DJ try to bust each other's businesses.",N/A,N/A,N/A,7.2,250,tt8583886,N/A
Aliens at the Pentagon,2018,Not Rated,66 min,Documentary,J. Michael Long,Nick Pope,Nick Pope,"Nick Pope, the UFO Insider known as ""The Real Fox Mulder"" of X-Files fame, provides shocking and revelatory insight into the latest leaks from the CIA regarding the Alien presence on Earth and the ramifications for our society.",English,USA,N/A,5.0,53,tt8583894,N/A
Pilot,2018,TV-14,21 min,Comedy,Julie Anne Robinson,"Aseem Batra (created by), Aseem Batra","Sarayu Blue, Paul Adelstein, Madhur Jaffrey, Brian George",Emmet tries not to be like her judgmental mother when her daughter joins a provocative dance group.,English,N/A,N/A,6.5,146,tt8583906,N/A
Backwater,2018,N/A,24 min,"Short, Drama",Brendan McCallion,"Brendan McCallion, Frank O'Malley","Patrick Loftus, Sophie Campbell, Padraic McGinley","In the depths of rural Ireland, Tommy has done everything to look after his sick father, succumbing to a life of isolation in the process. However, letting go proves to be more difficult than he had ever imagined.",English,Ireland,9 wins & 7 nominations,N/A,5,tt8583924,N/A
Alien Overlords,2018,Not Rated,76 min,Sci-Fi,Richard Lowry,N/A,"Bette Smith, Richard Lowry, Nicholas Bocek, Michael Byrne","UFO’s, Aliens, and Government Conspiracies. When an elite insider reveals the horrifying truth of the Alien Agenda on his deathbed, it spurs one man to reveal the truth to all mankind.",English,USA,N/A,2.6,123,tt8583930,N/A
The Barcelona Experiment,2018,N/A,55 min,Documentary,Triffany Leo,Triffany Leo,"Olla Abbas, Rebecca Ambler, Gordy Bal, Jason Campbell","Frustrated with the state of Education in the world, a Man pushes his online company to create the World's First Moving City Campus that opens up for one month each year in different cities...",English,Malaysia,N/A,8.5,8,tt8583970,N/A
Who Was Phone?,2020,N/A,105 min,"Comedy, Horror","David Daan, Steve Daan","David Daan, Steve Daan","Nina Adamovic, Alla, Valeriya Bakhtieva","Years after the death of her father, college student Fiona Stephens and her friends struggle to escape the grasp of a masked psychopath, hellbent on their brutal murders.",English,United States,N/A,4.2,85,tt8584048,N/A
Down,2019,N/A,12 min,"Short, Comedy, Drama",Garry Crystal,Garry Crystal,"Amanda Donohoe, Paul Barber, James Eeles","2 strangers are trapped in an elevator together. One is slowly dying, having attempted suicide; the other is dying to escape as she has Obsessive Compulsive Disorder.",English,United Kingdom,2 wins & 13 nominations,N/A,46,tt8584066,N/A
Endless,2016,N/A,46 min,Music,Frank Ocean,Frank Ocean,Frank Ocean,"The visual album depicts a seemingly endless process of construction inside a warehouse, accompanied by exclusive music from Frank Ocean.",English,USA,N/A,8.8,70,tt8584094,N/A
Episode #1.6,2019,N/A,43 min,"Fantasy, Thriller",Daniel di Grado,"Jonathan Sjöberg, Björn Paqualin, Filip Alexandersson","August Wittgenstein, Izabella Scorupco, Anders Mossling","Eldh and Jonas finally find Wennerbom; Jonas manages to discover a secret, an odd symbol in an empty van.",Swedish,Sweden,N/A,N/A,21,tt8584140,N/A
S1e7,2019,N/A,43 min,"Fantasy, Thriller",David Berron,"Björn Paqualin, Anoo Bhagavan, Filip Alexandersson","August Wittgenstein, Izabella Scorupco, Anders Mossling",N/A,N/A,N/A,N/A,N/A,19,tt8584142,N/A
Dan Pfeiffer,2018,TV-14,21 min,"Comedy, News, Talk-Show",Chuck O'Neil,"Owen Parsons, Kristen Acimovic, Russ Armstrong","Jordan Klepper, Tim Baltz, Laura Grey","Jordan breaks down President Trump's zero-tolerance immigration policy, Laura Grey chats with Senator Jeff Merkley, and Dan Pfeiffer discusses ""Yes We (Still) Can.""",English,United States,N/A,N/A,7,tt8584144,N/A
S1e8,2019,N/A,44 min,"Fantasy, Thriller",Jonathan Sjöberg,"Jonathan Sjöberg, Björn Paqualin, Filip Alexandersson","August Wittgenstein, Izabella Scorupco, Anders Mossling",N/A,N/A,N/A,N/A,N/A,17,tt8584146,N/A
Last Looks,2018,N/A,11 min,"Short, Comedy",Kevin Anthony Brooks,"Kevin Anthony Brooks, Laura Hartley","Rachel Addington, Kevin Anthony Brooks, Alexa Cappiello, Joe Clark",Tucker and JoAnna are acting in a movie together. The problem? They broke up five days ago.,English,USA,N/A,8.7,7,tt8584210,N/A
Wendybird,2006,N/A,7 min,Short,Ellen Von Unwerth,N/A,Kirsten Dunst,A metropolitan factory worker finds a fairy box of clothes and escapes her dull life.,N/A,United States,N/A,N/A,11,tt8584460,N/A
Jonathan Mangum 3,2018,N/A,20 min,"Comedy, Game-Show",N/A,N/A,"Aisha Tyler, Ryan Stiles, Colin Mochrie",Guests: comedian Jonathan Mangum.,N/A,N/A,N/A,N/A,29,tt8584576,N/A
Breaking the Ice,2018,TV-Y,22 min,"Animation, Action, Adventure","Miguel Martinez-Joffre, Shane Poettcker, Scott Pleydell-Pearce","Jeff Borkin, Ellen Martin, Clark Stubbs","Nolan North, Kevin Michael Richardson, Nat Faxon","When a little bunny (Jenna Dewan Tatum) gets trapped on top of a melting glacier, Blaze must put his new robot powers to the test as he races to the rescue.",English,"Japan, United States",N/A,N/A,10,tt8584590,N/A
The Rest of Us,2019,N/A,80 min,Drama,Aisling Chin-Yee,"Alanna Francis, Mark Van de Ven","Heather Graham, Sophie Nélisse, Abigail Pniowsky",Two mother-daughter duos must contend with their grief and complicated relationships with one another when the person who connects them dies.,"English, French",Canada,3 nominations,6.3,"1,659",tt8584722,74
Rhino Man,2022,N/A,N/A,Documentary,"John Jurko II, Matt Lindenberg, Daniel Roberts","John Jurko II, Matt Lindenberg","Anton Mzimba, Martin Mthembu, Ruben De Kock","In the midst of the battle to save rhinos from extinction, a great anti-poaching ranger trainer, Martin Mthembu, has fallen, leaving a void in the fight. His close friend Ruben de Kock continues to honor his legacy by training the next generation of rangers, while friend and ranger sergeant, Anton Mzimba, holds the line against poachers out in the bush.",English,United States,N/A,N/A,N/A,tt8584728,N/A
The Qualifiers 3,2018,N/A,60 min,"Family, Game-Show, Reality-TV",Alex Rudzinski,N/A,"Jenna Dewan, Derek Hough, Jennifer Lopez, Ne-Yo",N/A,N/A,N/A,N/A,8.5,27,tt8584766,N/A
My Aloha Dream Home,2017–,N/A,30 min,"Adventure, Reality-TV",N/A,N/A,Wayne Chi,Real estate broker and attorney Wayne Chi helps clients find a tropical getaway to call home. Wayne will showcase three different properties to potential buyers so they can choose their dream home on the gorgeous islands of Maui or Oahu.,English,United States,N/A,6.2,12,tt8584778,N/A
That's Amazing,2016–2017,N/A,N/A,Documentary,N/A,N/A,"Jonathan O'Beirne, Leland Melvin, Faith Dickey","Great Big Story teams up with The Weather Channel to bring you stories of humans in the great outdoors, testing their limits against the elements. You won't find these heart-pounding and inspiring tales anywhere else.",English,United States,N/A,N/A,9,tt8584862,N/A
The Murder of Rhys Jones: Police Tapes,2018,N/A,60 min,"Documentary, Crime",Sam Eastall,N/A,"Dave Kelly, Jackie Guinness, Brian McNeill",N/A,English,United Kingdom,N/A,6.5,18,tt8584908,N/A
Chris Hayes/Lil Rel Howery/Years & Years,2018,N/A,60 min,"Comedy, Talk-Show",N/A,Ben Warheit,"Seth Meyers, Chris Hayes, Lil Rel Howery, Years & Years",Journalist Chris Hayes; actor Lil Rel Howery; Years and Years perform; Jennie Vee and Joe Russo sit-in with the 8G Band.,English,USA,N/A,5.6,9,tt8584936,N/A
Nick Kroll/Stacey Abrams/Katie Stevens,2018,TV-14,N/A,"Comedy, Talk-Show",N/A,"Mike Scollins, Ben Warheit","Seth Meyers, Nick Kroll, Stacey Abrams",Actor Nick Kroll (Uncle Drew (2018)); gubernatorial candidate Stacey Abrams; actress Katie Stevens (The Bold Type (2017)); Jennie Vee and Joe Russo sit-in with the 8G Band.,English,United States,N/A,N/A,16,tt8584944,N/A
The Qualifiers 4,2018,N/A,60 min,"Family, Game-Show, Reality-TV",Alex Rudzinski,N/A,"Liv Simone, Jenna Dewan, Derek Hough, Jennifer Lopez",N/A,N/A,N/A,N/A,8.4,30,tt8584988,N/A
Robots to the Rescue,2018,TV-Y,22 min,"Animation, Action, Adventure","Shawn Gulley, Miguel Martinez-Joffre, Scott Pleydell-Pearce","Jeff Borkin, Elyse Endick, Ellen Martin","Nolan North, Kevin Michael Richardson, Nat Faxon","When three big emergencies turn out to be too much for one truck alone, Blaze turns himself and his friends into super strong robots to save Axle City from a runaway train, an overflowing glue factory, and an erupting volcano.",N/A,N/A,N/A,N/A,6,tt8585004,N/A
Epidemin,2011,N/A,14 min,Short,Jussi Kangas,Jussi Kangas,"Daniel Ogne, Cary Ylitalo, Ale Ottenby",N/A,Swedish,Sweden,N/A,N/A,22,tt8585016,N/A
Scream of the Sasquatch,2018,N/A,8 min,"Short, Adventure",Steve Woodier,N/A,"Kurt Affair, Michael Blemp, David Drogden",Two men must flee the horror of a raging Sasquatch.,English,UK,N/A,8.2,9,tt8585032,N/A
Being the Change: A New Kind of Climate Documentary,2018,N/A,60 min,N/A,"Dave Davis, Mary Grandelis(co-director)",N/A,"Ed Begley Jr., Mike Farrell, Rob Greenfield, Peter Kalmus","Complementing the book Being the Change, this feature documentary film delves into the life of Caltech / Jet Propulsion Laboratory atmospheric scientist Peter Kalmus, showing how a change ...",English,USA,N/A,7.7,7,tt8585080,N/A
Star Trek Discovery,2017,N/A,N/A,Talk-Show,N/A,N/A,Oliver Harper,N/A,N/A,N/A,N/A,N/A,7,tt8585132,N/A
Separated by Birth,2018,TV-14,27 min,"Documentary, News",N/A,N/A,Krishna Andavolu,Exploring the trending issue of undocumented immigrants living in the US and the children of immigrants who are US citizens by birth that fear deportation of their parents.,N/A,N/A,N/A,N/A,27,tt8585156,N/A
Episode #1.22,2018,N/A,60 min,Talk-Show,N/A,N/A,Mark Levin,N/A,N/A,N/A,N/A,N/A,N/A,tt8585182,N/A
Episode #1.23,2018,N/A,60 min,Talk-Show,N/A,N/A,Mark Levin,N/A,N/A,N/A,N/A,N/A,N/A,tt8585186,N/A
Irytujace buczenie lodówki,1998,N/A,9 min,"Short, Comedy",Lukasz Barczyk,N/A,"Marta Lipinska, Leon Niemczyk, Magdalena Leubstein",N/A,Polish,Poland,N/A,N/A,N/A,tt8585208,N/A
As a Family Member of Rias Gremory,2018,18+,23 min,"Animation, Action, Comedy","Tôru Kitahata, Tarô Kubo, Yoshifumi Sueda","Ichiei Ishibumi, Kenji Konuta, Kristen McGuire","Azumi Asakura, Dawn M. Bennett, Leah Clark",The Game has officially begun and the dices keep rolling. One by one various members of each family fight and slowly retire from the Game. Everyone in the Gremory household is risking their lives and fighting desperately to bring ...,"Japanese, English",Japan,N/A,N/A,255,tt8585222,N/A
V is for Vino,2018–,N/A,N/A,"Documentary, Reality-TV",N/A,N/A,Vincent Anter,"In each episode of V is for Vino, your host and certified sommelier Vince, takes you to a wine region to explore its culture, taste the wine, meet the winemakers and cook delicious food pairings in a local restaurant.",English,United States,N/A,9.6,22,tt8585226,N/A
Viridiana,2019,N/A,N/A,"Biography, Family, Fantasy",N/A,N/A,"Silvia Pinal, Itatí Cantoral, Pablo Montero",N/A,N/A,Mexico,N/A,N/A,5,tt8585264,N/A
Prélude,2019,N/A,95 min,"Drama, Music, Romance",Sabrina Sarabi,Sabrina Sarabi,"Louis Hofmann, Liv Lisa Fries, Johannes Nussbaum","The story of piano student David, who hurls himself into the world of music and into his first love. Full of zest for life but with growing pressure, he soon begins to lose control.",German,Germany,1 nomination,5.7,336,tt8585418,N/A
Kul Gov Garem,2018,N/A,13 min,"Short, Drama",Arif Mir,Arif Mir,"Nishant Pandey, Rouhaan Hussain Mir, Nafisa Majid Mir",A thousand words may not be able to express the smothered thoughts of these young Kashmiri friends in troubled times. Perhaps a game of stones can do that in an instant!,Kashmiri,India,N/A,8.2,11,tt8585426,N/A
Siblings of the Cape,2018,N/A,90 min,Drama,Shinzô Katayama,Shinzô Katayama,"Yûya Matsuura, Misa Wada, Masayasu Kitayama","Two brothers, old brother Yoshio who had a bad one leg, and sister Mariko who had intellectual disability lived in one port town. One day, Mariko was gone from home. A while later, She was protected by the angler. When they coming home, 10,000 yen bills find from pockets of Mariko's pants. He heard that, she said had sex with the angler but, she can not understand what is wrong. After that, Yoshio was fired the company. He was in danger of life, so tried to make a living by prostituting Mariko.",Japanese,Japan,2 wins total,6.6,391,tt8585484,N/A
Third Law,2018,N/A,100 min,"Comedy, Crime, Thriller",John Chris Lopez,John Chris Lopez,"Rebekah Ayala, Weston Lee Ball, Cameron Barbarick","A stranger comes to a small town and sets into motion a series of events that would affect the lives of those who live there, including the nefarious Neo-Nazi gang that runs it's criminal underworld.",English,United States,N/A,N/A,32,tt8585488,N/A
Primitive Law,1971,N/A,N/A,"Animation, Action, Adventure","Takeshi Tamiya, Masayuki Akehi","Toyohiro Andô, Hirokazu Fuse, Shotaro Ishinomori","Michel Clainchy, Michel Fortin, Danielle Hazan","Time is primitive. Baby Ryu, sacrificed to the dinosaur Tyranno, was rescued by a female ape, Kitty, and was raised as her child.",N/A,N/A,N/A,N/A,8,tt8585522,N/A
Fear of Tyranno,1971,N/A,N/A,"Animation, Action, Adventure",Masayuki Akehi,"Toyohiro Andô, Hirokazu Fuse, Shotaro Ishinomori","Michel Clainchy, Michel Fortin, Danielle Hazan",Ryu and Ran are attacked by Tyranno,N/A,N/A,N/A,N/A,8,tt8585528,N/A
Taka's Revenge,1971,N/A,N/A,"Animation, Action, Adventure","Yoshio Takami, Masayuki Akehi","Toyohiro Andô, Hirokazu Fuse, Shotaro Ishinomori","Michel Clainchy, Michel Fortin, Danielle Hazan","Ryu goes in pursuit of Ran, kidnapped by men from a tribe.",N/A,N/A,N/A,N/A,8,tt8585532,N/A
Pursuit Full of Wounds,1971,N/A,N/A,"Animation, Action, Adventure","Tokiji Kaburaki, Masayuki Akehi","Toyohiro Andô, Hirokazu Fuse, Shotaro Ishinomori","Michel Clainchy, Michel Fortin, Danielle Hazan","Ryu and Ran run away to get away from the Taka tribe, attacked by Tyranno",N/A,N/A,N/A,N/A,8,tt8585540,N/A
The Yamaneko Tribe's Conspiracy,1971,N/A,N/A,"Animation, Action, Adventure","Yoshikata Nitta, Masayuki Akehi","Toyohiro Andô, Hirokazu Fuse, Shotaro Ishinomori","Michel Clainchy, Michel Fortin, Danielle Hazan",Ryu and Ran hid in the valley to escape Taka,N/A,N/A,N/A,N/A,9,tt8585544,N/A
Fight for the Hunting Grounds,1971,N/A,N/A,"Animation, Action, Adventure","Osamu Kasai, Masayuki Akehi","Toyohiro Andô, Hirokazu Fuse, Shotaro Ishinomori","Michel Clainchy, Michel Fortin, Danielle Hazan","Ryu and Ran are running away from Taka and his followers, who continue to chase them even when they arrive in a new tribe",N/A,N/A,N/A,N/A,8,tt8585548,N/A
A Blood-stained Hero,1971,N/A,N/A,"Animation, Action, Adventure","Takashi Hisaoka, Masayuki Akehi","Toyohiro Andô, Hirokazu Fuse, Shotaro Ishinomori","Michel Clainchy, Michel Fortin, Danielle Hazan","Ryu, Ran and Don hide in a cave to rest and train young Don",N/A,N/A,N/A,N/A,8,tt8585550,N/A
Fated Encounter,1971,N/A,N/A,"Animation, Action, Adventure","Takeshi Tamiya, Masayuki Akehi","Toyohiro Andô, Hirokazu Fuse, Shotaro Ishinomori","Michel Clainchy, Michel Fortin, Danielle Hazan",Ryu's friend Kiba arrives to help the trio against Taka's men,N/A,N/A,N/A,N/A,8,tt8585554,N/A
Devil Stone,1971,N/A,N/A,"Animation, Action, Adventure",Masayuki Akehi,"Toyohiro Andô, Hirokazu Fuse, Shotaro Ishinomori","Michel Clainchy, Michel Fortin, Danielle Hazan","Ryu and his companions who came to the mountains found an injured man, Amra.",N/A,N/A,N/A,N/A,8,tt8585558,N/A
Giant in the Blizzard,1972,N/A,N/A,"Animation, Action, Adventure","Yoshio Takami, Masayuki Akehi","Toyohiro Andô, Hirokazu Fuse, Shotaro Ishinomori","Michel Clainchy, Michel Fortin, Danielle Hazan","Ryu, Ran and Don, covered in heavy hides, go through the winter environment, always looking for Ryu's mother.",N/A,N/A,N/A,N/A,8,tt8585562,N/A
Wrath of the Mountain God,1972,N/A,N/A,"Animation, Action, Adventure","Tokiji Kaburaki, Masayuki Akehi","Toyohiro Andô, Hirokazu Fuse, Shotaro Ishinomori","Michel Clainchy, Michel Fortin, Danielle Hazan","After exiting the land of ice, Ryu, Ran and Don resume their journey. Now the weather is warmer, and they only have to cross a frozen lake to reach the warm lands",N/A,N/A,N/A,N/A,8,tt8585564,N/A
The Training of Misunderstandings,1972,N/A,N/A,"Animation, Action, Adventure","Yoshikata Nitta, Masayuki Akehi","Toyohiro Andô, Hirokazu Fuse, Shotaro Ishinomori","Michel Clainchy, Michel Fortin, Danielle Hazan","In front of Ryu Ran and Don there is suddenly a vast meadow of grass and flowers, mountains and good weather: everything looks perfect but there is a hidden danger",N/A,N/A,N/A,N/A,8,tt8585568,N/A
Fire Trap,1972,N/A,N/A,"Animation, Action, Adventure","Osamu Kasai, Masayuki Akehi","Toyohiro Andô, Hirokazu Fuse, Shotaro Ishinomori","Michel Clainchy, Michel Fortin, Danielle Hazan","In the desert, Ryu, Ran, Don and Kiba, the hunter of Tirano, who has become Ryu's companion, walk. On the way, they are threatened by a huge bat: it is Sagal, the demon of the desert",N/A,N/A,N/A,N/A,8,tt8585570,N/A
Grave of the Heroes,1972,N/A,N/A,"Animation, Action, Adventure","Takashi Hisaoka, Masayuki Akehi","Toyohiro Andô, Hirokazu Fuse, Shotaro Ishinomori","Michel Clainchy, Michel Fortin, Danielle Hazan",Kiba plans a trap for Tyranno: setting fire to part of the forest while the monster goes to drink to try to kill the monster,N/A,N/A,N/A,N/A,8,tt8585574,N/A
Paradise in the Southern Seas,1972,N/A,N/A,"Animation, Action, Adventure","Takeshi Tamiya, Masayuki Akehi","Toyohiro Andô, Hirokazu Fuse, Shotaro Ishinomori","Michel Clainchy, Michel Fortin, Danielle Hazan","Ryu runs quickly, making Ran and Don tired: he wants to take revenge on Tyranno for the death of Kiba. But Ran and Don can't keep up with him",N/A,N/A,N/A,N/A,8,tt8585576,N/A
Human Beast,1972,N/A,N/A,"Animation, Action, Adventure",Masayuki Akehi,"Toyohiro Andô, Hirokazu Fuse, Shotaro Ishinomori","Michel Clainchy, Michel Fortin, Danielle Hazan","Ran, Ryu and Don relax in the hot water of a thermal pool where they meet an elderly man who has information about Ryu's mother",N/A,N/A,N/A,N/A,8,tt8585580,N/A
Desperate Cry at the Cliffs,1972,N/A,N/A,"Animation, Action, Adventure","Yoshio Takami, Masayuki Akehi","Toyohiro Andô, Hirokazu Fuse, Shotaro Ishinomori","Michel Clainchy, Michel Fortin, Danielle Hazan","In an abandoned area, rocky and with a terrible sun, Ryu, Ran, Don continue to follow in the footsteps of Ryu's mother",N/A,N/A,N/A,N/A,9,tt8585584,N/A
The Uncontrollable Mammoth,1972,N/A,N/A,"Animation, Action, Adventure","Tokiji Kaburaki, Masayuki Akehi","Toyohiro Andô, Hirokazu Fuse, Shotaro Ishinomori","Michel Clainchy, Michel Fortin, Danielle Hazan","Esta, Ryu's mother, runs away chased by Tyranno, while Ryu and his friends follow the animal Prendidon, who is looking for a way to overcome the crevasse caused by the earthquake",N/A,N/A,N/A,N/A,8,tt8585588,N/A
Barking Wolf,1972,N/A,N/A,"Animation, Action, Adventure","Yoshikata Nitta, Masayuki Akehi","Toyohiro Andô, Hirokazu Fuse, Shotaro Ishinomori","Michel Clainchy, Michel Fortin, Danielle Hazan","In a place infested with wolves, in front of a cave where they set fire, Ryu, Ran, Don try to survive the night",N/A,N/A,N/A,N/A,8,tt8585590,N/A
Slave Hunt,1972,N/A,N/A,"Animation, Action, Adventure","Osamu Kasai, Masayuki Akehi","Toyohiro Andô, Hirokazu Fuse, Shotaro Ishinomori","Michel Clainchy, Michel Fortin, Danielle Hazan",Ran goes to pick strawberries for food but she is captured by the men of the tribe Zora,N/A,N/A,N/A,N/A,8,tt8585592,N/A
Human Fangs,1972,N/A,N/A,"Animation, Action, Adventure","Takashi Hisaoka, Masayuki Akehi","Toyohiro Andô, Hirokazu Fuse, Shotaro Ishinomori","Michel Clainchy, Michel Fortin, Danielle Hazan","Ryu, Ran and Don while on the trail of Ryu's mother, prisoner of the Tanaki, are taken by in a sandstorm and they must also beware of Taka",N/A,N/A,N/A,N/A,8,tt8585596,N/A
Towards Tomorrow,1972,N/A,N/A,"Animation, Action, Adventure",Masayuki Akehi,"Toyohiro Andô, Hirokazu Fuse, Shotaro Ishinomori","Michel Clainchy, Michel Fortin, Danielle Hazan",Ryu must faces both Tyranno and Taka if he wants to find his mother,N/A,N/A,N/A,N/A,8,tt8585600,N/A
Man Down,2018,TV-14,41 min,"Crime, Drama, Mystery",Alex Chapple,"Dick Wolf, Michael S. Chernuchin, Julie Martin","Mariska Hargitay, Kelli Giddish, Ice-T","In the conclusion to the season premiere, ADA Stone blames himself for the shocking verdict in Sam's case, and before Benson can offer help, Sam makes a tragic decision.",English,N/A,N/A,8.1,856,tt8585606,N/A
Cry No Fear,2018,N/A,105 min,Thriller,Richard Somes,"Richard Somes, Ron Bryant","Ella Cruz, Donnalyn Bartolome, Lito Pimentel","Kaycee (Donnalyn Bartolome) and Wendy (Ella Cruz) are always at each other's throats. But when they are left alone in their house during a storm, with intruders trying to kill them, they have no choice but to become partners as they try to escape.","Filipino, Tagalog",Philippines,N/A,7.2,148,tt8585610,N/A
The Gauntlet is Thrown,2000,TV-Y7,20 min,"Animation, Action, Adventure",N/A,"Matthew Drdek, Lloyd Goldfine, Roger Slifer","Amy Birnbaum, Madeleine Blaustein, James Carter Cathcart","When Maximillion Pegasus, the creator of Duel Monsters, triumphs over Yugi in a game of real magic, he claims the soul of Yugi's grandfather, Solomon.",Japanese,Japan,N/A,N/A,357,tt8585672,N/A
Journey to the Duelist Kingdom,2000,TV-Y7,21 min,"Animation, Action, Adventure",N/A,Junki Takegami,"Amy Birnbaum, Wayne Grayson, Dan Green","Yugi must travel to the Duelist Kingdom to rescue Solomon, and he is joined by his friends Tea, Tristan and Joey, who wants to save his ill sister.",Japanese,Japan,N/A,N/A,312,tt8585680,N/A
