title,year,rated,runtime,genre,director,writer,actors,plot,language,country,awards,imdb_rating,imdb_votes,imdb_id,metascore
As the Cheese Turns/McWerewolf of London/Grab That Bird,1993,N/A,8 min,"Animation, Comedy, Family","Don Lusk, Paul Sommer, Carl Urbano","Janis Diamond, Jim Ryan, Patrick A. Ventura",N/A,"In As The Cheese Turns, Tom and Jerry fight over which TV program to watch. Then, investigators Droopy and Dripple thwart the vici ous criminal McWerewolf Of London. Finally, starving Clyde and Kyle attempt to Grab That Bird.",N/A,N/A,N/A,N/A,12,tt7543994,N/A
The Cave Mouse/McWolfenstein Returns/Destructive Construction,1993,N/A,8 min,"Animation, Comedy, Family","Don Lusk, Paul Sommer, Carl Urbano","Stewart St. John, Jim Ryan, Patrick A. Ventura",N/A,"See the kind of hilarious mischief Tom &amp; Jerry created as a playful kitten and a crafty little mouse before they grew up. Droopy, Dripple, Spike and Tyke showing up to play as well.",N/A,N/A,N/A,N/A,11,tt7544006,N/A
The Russell Howard Hour,2017–,N/A,N/A,"Comedy, News, Talk-Show",N/A,N/A,"Russell Howard, Paul Chowdhry, Joe Wilkinson",The Russell Howard Hour is a show on Sky 1 that people who have a similar humor to Russell will appreciate. It follows Russell Howard delivering his trademark humor with satire. The show follows almost the same pattern as that of Russell Howard's Good News.,N/A,United Kingdom,N/A,7.9,665,tt7544016,N/A
Episode #32.11,2017,N/A,N/A,Drama,Matthew Evans,Jeff Povey,"Crystal Yu, Neet Mohan, Michael Stevenson",Lily must choose between her career and her happiness. Rashid Masum joins the team. Iain is injured at the scene of a car crash.,N/A,N/A,N/A,N/A,10,tt7544018,N/A
Oh My Goig,2017–,N/A,N/A,N/A,N/A,N/A,"Ricard Balada, Laura Solé, Carmela Terrón, Maria Villarejo",N/A,Catalan,Spain,N/A,N/A,N/A,tt7544020,N/A
The Alien Mouse/Droopy Man/Abusement Park,1993,TV-Y,N/A,"Animation, Comedy, Family","Don Lusk, Paul Sommer, Carl Urbano","Stewart St. John, Patrick A. Ventura, Neal Barbera",N/A,N/A,N/A,N/A,N/A,N/A,15,tt7544022,N/A
The Martian Mouse/Darkwolf Strikes Back/Knockout Pig,1993,N/A,8 min,"Animation, Comedy, Family","Don Lusk, Paul Sommer, Carl Urbano","Neal Barbera, Don Jurwich",N/A,"See the kind of hilarious mischief Tom &amp; Jerry created as a playful kitten and a crafty little mouse before they grew up. Droopy, Dripple, Spike and Tyke showing up to play as well.",N/A,N/A,N/A,N/A,11,tt7544038,N/A
Episode #10.2,2017,TV-PG,59 min,"Action, Game-Show","Muche Madhovi, Joseph Sharp, Stephen Stewart",N/A,"Dara O Briain, Angela Scanlon, Jonathan Pearce",Returning champions Carbide begin the defence of their crown in a tough-looking section that includes the runners-up from the last series - Eruption.,English,United Kingdom,N/A,N/A,21,tt7544050,N/A
"Pest in the West/Double 'O' Droopy/Tom, the Babysitter",1992,N/A,30 min,"Animation, Comedy, Family",N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.2,6,tt7544058,N/A
Gas Blaster Puss/Fear of Flying/Mess Hall Mouser,1992,TV-Y,N/A,"Animation, Comedy, Family","Don Lusk, Jay Sarbry, Paul Sommer","Patrick A. Ventura, Sandy Fries, Arthur Alsberg",N/A,N/A,N/A,N/A,N/A,N/A,18,tt7544074,N/A
Toliver's Twist/Boomer Beaver/Pony Express Droopy,1992,N/A,N/A,"Animation, Comedy, Family","Don Lusk, Jay Sarbry, Paul Sommer","Neal Barbera, Don Jurwich","Charlie Adler, Don Messick",N/A,N/A,N/A,N/A,N/A,14,tt7544084,N/A
The USA vs. Bergdahl,2017,N/A,95 min,Documentary,Sean Langan,Sean Langan,"Bowe Bergdahl, Robert Bergdahl, Michael Flynn","When Bowe Bergdahl infamously walked off his base in Afghanistan in 2009 he was captured by the Taliban and held for five years, tortured and kept in a tiny cage. But the nightmare only continued when he was freed by President Obama in exchange for five Taliban prisoners from Guantanamo. Arriving home, he was vilified in the media as a deserter who collaborated with the enemy. Donald Trump called for him to be shot as a ""dirty rotten traitor"". So what is his side of the story? Film-maker Sean Langan gets exclusive access to Bowe Bergdahl and to his parents, presenting a moving story of a family caught in a storm of false allegations, and a soldier who made a mistake and paid a terrible price.",English,United Kingdom,N/A,5.8,44,tt7544120,N/A
"The Break 'n' Entry Boyz/Love Me, Love My Zebra/Dakota Droopy Returns",1992,N/A,30 min,"Animation, Comedy, Family",N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.3,6,tt7544142,N/A
Patrik,2019,N/A,9 min,"Short, Drama",Evgeniya Radilova,"Ella Mische, Evgeniya Radilova","Patrik Baldauff, Jamal Hodge, Dena Tyler","PATRIK is a story about an accomplished elderly actor who grew too old for our modern fast paced life and on his way to receiving his final and ultimate life time recognition, he gets swallowed up by it mercilessly. It is a human story about trying to age gracefully while being pushed aside by the next generation. And ultimately it is a story about how a real human connection is the ultimate reward we can all hope for in this life time.",English,United States,8 wins,N/A,11,tt7544156,N/A
Termi-Maid/The Fish That Shoulda Got Away/Droopy's Rhino,1992,N/A,22 min,"Animation, Comedy, Family","Don Lusk, Jay Sarbry, Paul Sommer","Neal Barbera, Don Jurwich",N/A,"Trouble follows when Tom and Jerry's owner hires a robot maid in ""Termi-Maid."" Spike takes Tyke fishing in ""The Fish That Shoulda Got Away."" McWolf competes against Droopy and Dripple to capture ""Droopy's Rhino.""",N/A,N/A,N/A,N/A,13,tt7544170,N/A
Doom Manor/The Barbecue Bust-Up/The Fabulous Droopy & Dripple,1992,TV-Y,N/A,"Animation, Comedy, Family","Don Lusk, Jay Sarbry, Paul Sommer","Neal Barbera, Don Jurwich",June Foray,N/A,N/A,N/A,N/A,N/A,21,tt7544190,N/A
Messer am Hals,2018,N/A,89 min,N/A,Michael Kreindl,"Christoph Darnstädt, Vladislav Tinchev (story)","Neda Rahmanian, Lenn Kudrjawizki, Dominic Raacke, Edita Malovcic",N/A,N/A,N/A,N/A,7.1,23,tt7544218,N/A
Catastrophe Cat/Droopy and the Dragon/Wildmouse II,1992,N/A,8 min,"Animation, Comedy, Family","Don Lusk, Jay Sarbry, Paul Sommer","Neal Barbera, Don Jurwich",N/A,A rodent steals the sheriff's dinner.,N/A,N/A,N/A,N/A,14,tt7544240,N/A
Tom's Double Trouble/High Seas Hijinks/Just Rambling Along,1992,TV-Y,8 min,"Animation, Comedy, Family","Don Lusk, Jay Sarbry, Paul Sommer","Neal Barbera, Don Jurwich",N/A,Slowpoke Antonio accidentally enters a bullfight.,N/A,N/A,N/A,N/A,16,tt7544260,N/A
Go-pher Help/Downhill Droopy/Down in the Dumps,1992,N/A,8 min,"Animation, Comedy, Family",N/A,N/A,N/A,Spike nods off at work after too many hours working.,N/A,N/A,N/A,N/A,N/A,tt7544274,N/A
The Thread that Broke the Shah's Back,2017,TV-14,43 min,Reality-TV,N/A,Ryan Seacrest,"Asa Soltan Rahmati, Anoush Sadegh","GG and Reza uncover some information regarding Mike and Jessica's relationship and decide to take action. Asa, nearing the end of her pregnancy, makes a decision regarding her future with the group. Reza makes a statement to the w...",N/A,N/A,N/A,N/A,5,tt7544292,N/A
Kwang-soo Strikes Back,2016,TV-14,77 min,"Comedy, Game-Show, Reality-TV",N/A,N/A,"Yoo Jae-suk, Suk-Jin Jee, Jong-Kook Kim","Myongji College (Hongeun 2-dong, Seodaemun-gu, Seoul) Mission: Defeat the other team.",N/A,South Korea,N/A,N/A,6,tt7544298,N/A
Ghost House (Sega Master System),2017,N/A,N/A,"Comedy, Talk-Show",N/A,N/A,"Mike Matei, James Rolfe",N/A,N/A,N/A,N/A,6.7,9,tt7544310,N/A
Reunion Part 1,2017,TV-14,43 min,Reality-TV,Alex Coletti,Ryan Seacrest,"Andy Cohen, Asa Soltan Rahmati","As the reunion kicks off, the Shahs waste no time shaking things up. Newlyweds Mercedes and husband Tommy have life-changing news to share with their friends, but only after they've spoken with Mercedes' opinionated mother Vida. R...",N/A,N/A,N/A,N/A,6,tt7544314,N/A
Laupisanas 101,2017,N/A,53 min,"Comedy, Crime",Kaspars Marhlevics,Kaspars Marhlevics,"Mariss Kaminskis, Kaspars Marhlevics, Edgars Sondors","After another successful con, two reasonably experienced con-men - Richard and Harry, - come to a conclusion that this has become too easy and even boring and they decide to expand their horizons.",Latvian,Latvia,N/A,9.0,40,tt7544316,N/A
The Watchcat/Go with the Floe/Pooches in Peril,1992,N/A,N/A,"Animation, Comedy, Family","Don Lusk, Jay Sarbry, Paul Sommer","Neal Barbera, Don Jurwich",N/A,N/A,N/A,N/A,N/A,N/A,14,tt7544324,N/A
Reunion Part 2,2017,TV-14,43 min,Reality-TV,Alex Coletti,Ryan Seacrest,"Andy Cohen, Asa Soltan Rahmati","The reunion comes to a dramatic close when the Shahs are forced to confront their varying relationship issues. Golnesa's estranged husband, Shalom, pays a surprise visit to discuss the truth behind their breakup and reveals the cu...",N/A,N/A,N/A,N/A,7,tt7544328,N/A
Sing Along with Slowpoke/Dakota Droopy and the Great Train Robbery/The Droopy Law,1992,TV-Y,N/A,"Animation, Comedy, Family","Don Lusk, Jay Sarbry, Paul Sommer","Neal Barbera, Don Jurwich",N/A,N/A,N/A,N/A,N/A,N/A,15,tt7544350,N/A
Representative Player Contest Race: Part 1,2016,TV-14,80 min,"Comedy, Game-Show, Reality-TV",N/A,N/A,"Yoo Jae-suk, Suk-Jin Jee, Jong-Kook Kim","Hapcheon Image Theme Park (Hapcheon, Gyeongsang) Mission: Win the ice hockey match.",N/A,South Korea,N/A,N/A,N/A,tt7544360,N/A
Brawl in Cell Block 99,2017,N/A,N/A,"Comedy, Talk-Show",N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.2,8,tt7544370,N/A
Countdown To Christmas Preview Show,2017,N/A,N/A,N/A,Leon Knoles,Neal Kendall,N/A,N/A,English,USA,N/A,N/A,N/A,tt7544378,N/A
The Firehouse Mouse/The Wrath of Dark Wolf/Pound Hound,1992,TV-Y,N/A,"Animation, Comedy, Family","Don Lusk, Jay Sarbry, Paul Sommer","Barry E. Blitzer, Stewart St. John, Bruce Morris",Phil Hartman,N/A,N/A,N/A,N/A,N/A,15,tt7544416,N/A
